EQUIPOS PARA REVISION QUITO - GUAYAQUIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITEM;CD;AREA;MODELO;SN;ENE;MANTE_ENE;FEB;MANTE_FEB;MARZO;MANTE_MAR;ABRIL;MANTE_ABRIL;MAYO;MANTE_MAY;JUN;MANTE_JUN;JUL;MANTE_JUL;AGOST;MANTE_AGOSTO;SEP;MANTE_SEP;OCT;MANTE_OCT;NOV;MANTE_NOV;DIC;MANTE_DIC;;
1;CD CALACALI;FRIOS;MC92;1811700500195    ;9/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;12/3/2024;Mantenimiento preventivo;9/4/2024;Mantenimiento preventivo;7/5/2024;Mantenimiento preventivo;11/6/2024;Mantenimiento preventivo;9/7/2024;Mantenimiento preventivo;6/8/2024;Mantenimiento preventivo;10/9/2024;Mantenimiento preventivo;8/10/2024;Mantenimiento preventivo;12/11/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;;
2;CD CALACALI;FRIOS;MC92;1813500500883    ;9/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;12/3/2024;Mantenimiento preventivo;9/4/2024;Mantenimiento preventivo;7/5/2024;Carcasa inferior;11/6/2024;Mantenimiento preventivo;9/7/2024;Teclado con protector;6/8/2024;Mantenimiento preventivo;10/9/2024;Mantenimiento preventivo;9/10/2024;Mantenimiento preventivo;12/11/2024;Mantenimiento preventivo;21/12/2024;Carcasa inferior;;
3;CD CALACALI;SECOS;ET50;BZ84901055;11/1/2024;Mantenimiento preventivo;8/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;11/4/2024;Mantenimiento preventivo;;;6/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;8/8/2024;Mantenimiento preventivo;12/9/2024;Mantenimiento preventivo;10/10/2024;Mantenimiento preventivo;14/11/2024;Mantenimiento preventivo;13/12/2024;Manteniento preventivo;;
4;CD CALACALI;SECOS;ET50;BZ84901099;11/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;11/4/2024;Mantenimiento preventivo;9/5/2024;Mantenimiento preventivo;6/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;8/8/2024;Mantenimiento preventivo;;;;;;;;;;
5;CD CALACALI;SECOS;ET50;BZ84901180;11/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;13/3/2024;Mantenimiento preventivo;11/4/2024;Mantenimiento preventivo;8/5/2024;Mantenimiento preventivo;6/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento  preventivo;10/9/2024;Mantenimiento preventivo;8/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;14/12/2024;Mantenimeinto preventivo;;
6;CD CALACALI;SECOS;ET50;BZ84900851;11/1/2024;Mantenimiento preventivo;8/2/2024;Mantenimiento preventivo;14/3/2024;Mantenimiento preventivo;11/4/2024;Mantenimiento preventivo;;;6/6/2024;Mantenimiento preventivo;11/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;11/9/2024;Mantenimiento preventivo;9/10/2024;Mantenimiento preventivo;14/11/2024;Mantenimiento preventivo;13/12/2024;Manteniento preventivo;;
7;CD CALACALI;SECOS;ET50;BZ84900825;11/1/2024;Mantenimiento preventivo;7/2/2024;Mantenimiento preventivo;14/3/2024;Mantenimiento preventivo;11/4/2024;Mantenimiento preventivo;;;6/6/2024;Mantenimiento preventivo;10/7/2024;Mantenimiento preventivo;7/8/2024;Mantenimiento preventivo;11/9/2024;Mantenimiento preventivo;9/10/2024;Mantenimiento preventivo;13/11/2024;Mantenimiento preventivo;12/12/2024;Mantenimiento preventivo;;
8;CD CALACALI;FRIOS;MC92;1811700500216    ;9/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;12/3/2024;Mantenimiento preventivo;9/4/2024;Mantenimiento preventivo;7/5/2024;Mantenimiento preventivo;11/6/2024;Mantenimiento preventivo;9/7/2024;Mantenimiento preventivo;6/8/2024;Mantenimiento preventivo;10/9/2024;Mantenimiento preventivo;;;12/11/2024;Mantenimiento preventivo;10/12/2024;Mantenimiento preventivo;;
9;CD CALACALI;FRIOS;MC92;1813700502642    ;9/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;12/3/2024;Mantenimiento preventivo;9/4/2024;Mantenimiento preventivo;7/5/2024;Mantenimiento preventivo;11/6/2024;Mantenimiento preventivo;9/7/2024;Mantenimiento preventivo;6/8/2024;Mantenimiento preventivo;10/9/2024;Mantenimiento preventivo;8/10/2024;Mantenimiento preventivo;12/11/2024;Mantenimiento preventivo;10/12/2024;Mantenimiento preventivo;;
10;CD CALACALI;FRIOS;MC92;1813700502659    ;9/1/2024;Mantenimiento preventivo;6/2/2024;Mantenimiento preventivo;12/3/2024;Mantenimiento preventivo;9/4/2024;Mantenimiento preventivo;7/5/2024;Mantenimiento preventivo;11/6/2024;Mantenimiento preventivo;9/7/2024;Mantenimiento preventivo;6/8/2024;Mantenimiento preventivo;10/9/2024;Mantenimiento preventivo;8/10/2024;Mantenimiento preventivo;12/11/2024;Mantenimiento preventivo;10/12/2024;Mantenimiento preventivo;;
